#,Title,Category,Interaction,Description,Possible Mitigation(s),,,,,
1,An adversary may gain unauthorized access to Web API due to poor access control checks,Elevation of Privileges,Web App Request,An adversary may gain unauthorized access to Web API due to poor access control checks,Implement proper authorization mechanism in ASP.NET Web API. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#authz-aspnet&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#authz-aspnet&amp;amp;lt;/a&amp;amp;gt;,,,,,
34,An adversary can gain access to sensitive information from an API through error messages,Information Disclosure,Mobile App Request,"An adversary can gain access to sensitive data such as the following, through verbose error messages - Server names - Connection strings - Usernames - Passwords - SQL procedures - Details of dynamic SQL failures - Stack trace and lines of code - Variables stored in memory - Drive and folder locations - Application install points - Host configuration settings - Other internal application details ","Ensure that proper exception handling is done in ASP.NET Web API. Refer: <a href=""https://aka.ms/tmtxmgmt#exception"">https://aka.ms/tmtxmgmt#exception</a>",,,,,
35,An adversary may gain unauthorized access to Web API due to poor access control checks,Elevation of Privileges,Mobile App Request,An adversary may gain unauthorized access to Web API due to poor access control checks,"Implement proper authorization mechanism in ASP.NET Web API. Refer: <a href=""https://aka.ms/tmtauthz#authz-aspnet"">https://aka.ms/tmtauthz#authz-aspnet</a>",,,,,
36,An adversary may jail break into a mobile device and gain elevated privileges,Elevation of Privileges,Mobile App Request,An adversary may jail break into a mobile device and gain elevated privileges,"Implement implicit jailbreak or rooting detection. Refer: <a href=""https://aka.ms/tmtauthz#rooting-detection"">https://aka.ms/tmtauthz#rooting-detection</a>",,,,,
37,An adversary can gain access to sensitive data stored in Web App's config files,Tampering,Browser UI Update,"An adversary can gain access to the config files. and if sensitive data is stored in it, it would be compromised.","Encrypt sections of Web App's configuration files that contain sensitive data. Refer: <a href=""https://aka.ms/tmtdata#encrypt-data"">https://aka.ms/tmtdata#encrypt-data</a>",,,,,
38,An adversary can gain access to sensitive data by performing SQL injection through Web App,Tampering,Browser UI Update,"SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. The primary form of SQL injection consists of direct insertion of code into user-input variables that are concatenated with SQL commands and executed. A less direct attack injects malicious code into strings that are destined for storage in a table or as metadata. When the stored strings are subsequently concatenated into a dynamic SQL command, the malicious code is executed. ","Ensure that type-safe parameters are used in Web Application for data access. Refer: <a href=""https://aka.ms/tmtinputval#typesafe"">https://aka.ms/tmtinputval#typesafe</a>",,,,,
39,An attacker steals messages off the network and replays them in order to steal a user's session,Tampering,Browser UI Update,An attacker steals messages off the network and replays them in order to steal a user's session,,,,,,
40,An adversary can deface the target web application by injecting malicious code or uploading dangerous files,Tampering,Browser UI Update,Website defacement is an attack on a website where the attacker changes the visual appearance of the site or a webpage. ,"Implement Content Security Policy (CSP), and disable inline javascript. Refer: <a href=""https://aka.ms/tmtconfigmgmt#csp-js"">https://aka.ms/tmtconfigmgmt#csp-js</a>  Enable browser's XSS filter. Refer: <a href=""https://aka.ms/tmtconfigmgmt#xss-filter"">https://aka.ms/tmtconfigmgmt#xss-filter</a>  Access third party javascripts from trusted sources only. Refer: <a href=""https://aka.ms/tmtconfigmgmt#js-trusted"">https://aka.ms/tmtconfigmgmt#js-trusted</a>  Enable ValidateRequest attribute on ASP.NET Pages. Refer: <a href=""https://aka.ms/tmtconfigmgmt#validate-aspnet"">https://aka.ms/tmtconfigmgmt#validate-aspnet</a>  Ensure that each page that could contain user controllable content opts out of automatic MIME sniffing . Refer: <a href=""https://aka.ms/tmtinputval#out-sniffing"">https://aka.ms/tmtinputval#out-sniffing</a>  Use locally-hosted latest versions of JavaScript libraries . Refer: <a href=""https://aka.ms/tmtconfigmgmt#local-js"">https://aka.ms/tmtconfigmgmt#local-js</a>  Ensure appropriate controls are in place when accepting files from users. Refer: <a href=""https://aka.ms/tmtinputval#controls-users"">https://aka.ms/tmtinputval#controls-users</a>  Disable automatic MIME sniffing. Refer: <a href=""https://aka.ms/tmtconfigmgmt#mime-sniff"">https://aka.ms/tmtconfigmgmt#mime-sniff</a>  Encode untrusted web output prior to rendering. Refer: <a href=""https://aka.ms/tmtinputval#rendering"">https://aka.ms/tmtinputval#rendering</a>  Perform input validation and filtering on all string type Model properties. Refer: <a href=""https://aka.ms/tmtinputval#typemodel"">https://aka.ms/tmtinputval#typemodel</a>  Ensure that the system has inbuilt defences against misuse. Refer: <a href=""https://aka.ms/tmtauditlog#inbuilt-defenses"">https://aka.ms/tmtauditlog#inbuilt-defenses</a>  Enable HTTP Strict Transport Security (HSTS). Refer: <a href=""https://aka.ms/tmtcommsec#http-hsts"">https://aka.ms/tmtcommsec#http-hsts</a>  Implement input validation on all string type parameters accepted by Controller methods. Refer: <a href=""https://aka.ms/tmtinputval#string-method"">https://aka.ms/tmtinputval#string-method</a>  Avoid using Html.Raw in Razor views. Refer: <a href=""https://aka.ms/tmtinputval#html-razor"">https://aka.ms/tmtinputval#html-razor</a>  Sanitization should be applied on form fields that accept all characters e.g, rich text editor . Refer: <a href=""https://aka.ms/tmtinputval#richtext"">https://aka.ms/tmtinputval#richtext</a>  Do not assign DOM elements to sinks that do not have inbuilt encoding . Refer: <a href=""https://aka.ms/tmtinputval#inbuilt-encode"">https://aka.ms/tmtinputval#inbuilt-encode</a>",,,,,
41,An adversary may spoof Desktop Web Browser (Chrome) and gain access to Web Application,Spoofing,Browser UI Update,"If proper authentication is not in place, an adversary can spoof a source process or external entity and gain unauthorized access to the Web Application","Consider using a standard authentication mechanism to authenticate to Web Application. Refer: <a href=""https://aka.ms/tmtauthn#standard-authn-web-app"">https://aka.ms/tmtauthn#standard-authn-web-app</a>",,,,,
42,An adversary can create a fake website and launch phishing attacks,Spoofing,Browser UI Update,"Phishing is attempted to obtain sensitive information such as usernames, passwords, and credit card details (and sometimes, indirectly, money), often for malicious reasons, by masquerading as a Web Server which is a trustworthy entity in electronic communication","Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: <a href=""https://aka.ms/tmtcommsec#x509-ssltls"">https://aka.ms/tmtcommsec#x509-ssltls</a>  Ensure that authenticated ASP.NET pages incorporate UI Redressing or clickjacking defences. Refer: <a href=""https://aka.ms/tmtconfigmgmt#ui-defenses"">https://aka.ms/tmtconfigmgmt#ui-defenses</a>  Validate all redirects within the application are closed or done safely. Refer: <a href=""https://aka.ms/tmtinputval#redirect-safe"">https://aka.ms/tmtinputval#redirect-safe</a>",,,,,
43,Attackers can steal user session cookies due to insecure cookie attributes,Spoofing,Browser UI Update,The session cookies is the identifier by which the server knows the identity of current user for each incoming request. If the attacker is able to steal the user token he would be able to access all user data and perform all actions on behalf of user. ,"Applications available over HTTPS must use secure cookies. Refer: <a href=""https://aka.ms/tmtsmgmt#https-secure-cookies"">https://aka.ms/tmtsmgmt#https-secure-cookies</a>  All http based application should specify http only for cookie definition. Refer: <a href=""https://aka.ms/tmtsmgmt#cookie-definition"">https://aka.ms/tmtsmgmt#cookie-definition</a>",,,,,
44,An adversary can get access to a user's session due to insecure coding practices,Spoofing,Browser UI Update,The session cookies is the identifier by which the server knows the identity of current user for each incoming request. If the attacker is able to steal the user token he would be able to access all user data and perform all actions on behalf of user.,"Enable ValidateRequest attribute on ASP.NET Pages. Refer: <a href=""https://aka.ms/tmtconfigmgmt#validate-aspnet"">https://aka.ms/tmtconfigmgmt#validate-aspnet</a>  Encode untrusted web output prior to rendering. Refer: <a href=""https://aka.ms/tmtinputval#rendering"">https://aka.ms/tmtinputval#rendering</a>  Avoid using Html.Raw in Razor views. Refer: <a href=""https://aka.ms/tmtinputval#html-razor"">https://aka.ms/tmtinputval#html-razor</a>  Sanitization should be applied on form fields that accept all characters e.g, rich text editor . Refer: <a href=""https://aka.ms/tmtinputval#richtext"">https://aka.ms/tmtinputval#richtext</a>  Do not assign DOM elements to sinks that do not have inbuilt encoding . Refer: <a href=""https://aka.ms/tmtinputval#inbuilt-encode"">https://aka.ms/tmtinputval#inbuilt-encode</a>",,,,,
45,An adversary can get access to a user's session due to improper logout and timeout,Spoofing,Browser UI Update,The session cookies is the identifier by which the server knows the identity of current user for each incoming request. If the attacker is able to steal the user token he would be able to access all user data and perform all actions on behalf of user.,"Set up session for inactivity lifetime. Refer: <a href=""https://aka.ms/tmtsmgmt#inactivity-lifetime"">https://aka.ms/tmtsmgmt#inactivity-lifetime</a>  Implement proper logout from the application. Refer: <a href=""https://aka.ms/tmtsmgmt#proper-app-logout"">https://aka.ms/tmtsmgmt#proper-app-logout</a>",,,,,
46,Attacker can deny the malicious act and remove the attack foot prints leading to repudiation issues,Repudiation,Browser UI Update,"Proper logging of all security events and user actions builds traceability in a system and denies any possible repudiation issues. In the absence of proper auditing and logging controls, it would become impossible to implement any accountability in a system","Ensure that auditing and logging is enforced on the application. Refer: <a href=""https://aka.ms/tmtauditlog#auditing"">https://aka.ms/tmtauditlog#auditing</a>  Ensure that log rotation and separation are in place. Refer: <a href=""https://aka.ms/tmtauditlog#log-rotation"">https://aka.ms/tmtauditlog#log-rotation</a>  Ensure that Audit and Log Files have Restricted Access. Refer: <a href=""https://aka.ms/tmtauditlog#log-restricted-access"">https://aka.ms/tmtauditlog#log-restricted-access</a>  Ensure that User Management Events are Logged. Refer: <a href=""https://aka.ms/tmtauditlog#user-management"">https://aka.ms/tmtauditlog#user-management</a>",,,,,
47,An adversary may gain access to sensitive data from uncleared browser cache,Information Disclosure,Browser UI Update,An adversary may gain access to sensitive data from uncleared browser cache,"Ensure that sensitive content is not cached on the browser. Refer: <a href=""https://aka.ms/tmtdata#cache-browser"">https://aka.ms/tmtdata#cache-browser</a>",,,,,
48,An adversary can gain access to sensitive information through error messages,Information Disclosure,Browser UI Update,"An adversary can gain access to sensitive data such as the following, through verbose error messages - Server names  - Connection strings  - Usernames  - Passwords  - SQL procedures  - Details of dynamic SQL failures  - Stack trace and lines of code  - Variables stored in memory  - Drive and folder locations  - Application install points  - Host configuration settings  - Other internal application details ","Do not expose security details in error messages. Refer: <a href=""https://aka.ms/tmtxmgmt#messages"">https://aka.ms/tmtxmgmt#messages</a>  Implement Default error handling page. Refer: <a href=""https://aka.ms/tmtxmgmt#default"">https://aka.ms/tmtxmgmt#default</a>  Set Deployment Method to Retail in IIS. Refer: <a href=""https://aka.ms/tmtxmgmt#deployment"">https://aka.ms/tmtxmgmt#deployment</a>  Exceptions should fail safely. Refer: <a href=""https://aka.ms/tmtxmgmt#fail"">https://aka.ms/tmtxmgmt#fail</a>  ASP.NET applications must disable tracing and debugging prior to deployment. Refer: <a href=""https://aka.ms/tmtconfigmgmt#trace-deploy"">https://aka.ms/tmtconfigmgmt#trace-deploy</a>  Implement controls to prevent username enumeration. Refer: <a href=""https://aka.ms/tmtauthn#controls-username-enum"">https://aka.ms/tmtauthn#controls-username-enum</a>",,,,,
49,An adversary can gain access to sensitive data by sniffing traffic to Web Application,Information Disclosure,Browser UI Update,"An adversary may conduct man in the middle attack and downgrade TLS connection to clear text protocol, or forcing browser communication to pass through a proxy server that he controls. This may happen because the application may use mixed content or HTTP Strict Transport Security policy is not ensured.","Applications available over HTTPS must use secure cookies. Refer: <a href=""https://aka.ms/tmtsmgmt#https-secure-cookies"">https://aka.ms/tmtsmgmt#https-secure-cookies</a>  Enable HTTP Strict Transport Security (HSTS). Refer: <a href=""https://aka.ms/tmtcommsec#http-hsts"">https://aka.ms/tmtcommsec#http-hsts</a>",,,,,
50,An adversary can gain access to certain pages or the site as a whole.,Information Disclosure,Browser UI Update,Robots.txt is often found in your site's root directory and exists to regulate the bots that crawl your site. This is where you can grant or deny permission to all or some specific search engine robots to access certain pages or your site as a whole. The standard for this file was developed in 1994 and is known as the Robots Exclusion Standard or Robots Exclusion Protocol. Detailed info about the robots.txt protocol can be found at robotstxt.org.,"Ensure that administrative interfaces are appropriately locked down. Refer: <a href=""https://aka.ms/tmtauthn#admin-interface-lockdown"">https://aka.ms/tmtauthn#admin-interface-lockdown</a>",,,,,
51,An adversary may gain access to unmasked sensitive data such as credit card numbers,Information Disclosure,Browser UI Update,An adversary may gain access to unmasked sensitive data such as credit card numbers,"Ensure that sensitive data displayed on the user screen is masked. Refer: <a href=""https://aka.ms/tmtdata#data-mask"">https://aka.ms/tmtdata#data-mask</a>",,,,,
52,An adversary can gain access to sensitive data by performing SQL injection through Web App,Tampering,Web API Response,"SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. The primary form of SQL injection consists of direct insertion of code into user-input variables that are concatenated with SQL commands and executed. A less direct attack injects malicious code into strings that are destined for storage in a table or as metadata. When the stored strings are subsequently concatenated into a dynamic SQL command, the malicious code is executed. ","Ensure that type-safe parameters are used in Web Application for data access. Refer: <a href=""https://aka.ms/tmtinputval#typesafe"">https://aka.ms/tmtinputval#typesafe</a>",,,,,
53,An adversary may spoof Mango Web API and gain access to Web Application,Spoofing,Web API Response,"If proper authentication is not in place, an adversary can spoof a source process or external entity and gain unauthorized access to the Web Application","Consider using a standard authentication mechanism to authenticate to Web Application. Refer: <a href=""https://aka.ms/tmtauthn#standard-authn-web-app"">https://aka.ms/tmtauthn#standard-authn-web-app</a>",,,,,
54,An adversary can gain unauthorized access to database due to loose authorization rules,Elevation of Privileges,DB Request,Database access should be configured with roles and privilege based on least privilege and need to know principle. ,Ensure that least-privileged accounts are used to connect to Database server. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#privileged-server&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#privileged-server&amp;amp;lt;/a&amp;amp;gt; Implement Row Level Security RLS to prevent tenants from accessing each others data. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#rls-tenants&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#rls-tenants&amp;amp;lt;/a&amp;amp;gt; Sysadmin role should only have valid necessary users . Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#sysadmin-users&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#sysadmin-users&amp;amp;lt;/a&amp;amp;gt;,,,,,
55,An adversary can gain access to sensitive PII or HBI data in database,Information Disclosure,DB Request,"Additional controls like Transparent Data Encryption, Column Level Encryption, EKM etc. provide additional protection mechanism to high value PII or HBI data. ",Use strong encryption algorithms to encrypt data in the database. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#strong-db&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#strong-db&amp;amp;lt;/a&amp;amp;gt; Ensure that sensitive data in database columns is encrypted. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtdata#db-encrypted&amp;quot;&amp;amp;gt;https://aka.ms/tmtdata#db-encrypted&amp;amp;lt;/a&amp;amp;gt; Ensure that database-level encryption (TDE) is enabled. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtdata#tde-enabled&amp;quot;&amp;amp;gt;https://aka.ms/tmtdata#tde-enabled&amp;amp;lt;/a&amp;amp;gt; Ensure that database backups are encrypted. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtdata#backup&amp;quot;&amp;amp;gt;https://aka.ms/tmtdata#backup&amp;amp;lt;/a&amp;amp;gt; Use SQL server EKM to protect encryption keys. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#ekm-keys&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#ekm-keys&amp;amp;lt;/a&amp;amp;gt; Use AlwaysEncrypted feature if encryption keys should not be revealed to Database engine. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#keys-engine&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#keys-engine&amp;amp;lt;/a&amp;amp;gt;,,,,,
56,An adversary can gain access to sensitive data by performing SQL injection,Information Disclosure,DB Request,"SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. The primary form of SQL injection consists of direct insertion of code into user-input variables that are concatenated with SQL commands and executed. A less direct attack injects malicious code into strings that are destined for storage in a table or as metadata. When the stored strings are subsequently concatenated into a dynamic SQL command, the malicious code is executed. ",Ensure that login auditing is enabled on SQL Server. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#identify-sensitive-entities&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#identify-sensitive-entities&amp;amp;lt;/a&amp;amp;gt; Ensure that least-privileged accounts are used to connect to Database server. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#privileged-server&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#privileged-server&amp;amp;lt;/a&amp;amp;gt; Enable Threat detection on Azure SQL database. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#threat-detection&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#threat-detection&amp;amp;lt;/a&amp;amp;gt; Do not use dynamic queries in stored procedures. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#stored-proc&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#stored-proc&amp;amp;lt;/a&amp;amp;gt;,,,,,
57,An adversary can deny actions on database due to lack of auditing,Repudiation,DB Request,"Proper logging of all security events and user actions builds traceability in a system and denies any possible repudiation issues. In the absence of proper auditing and logging controls, it would become impossible to implement any accountability in a system.",Ensure that login auditing is enabled on SQL Server. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#identify-sensitive-entities&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#identify-sensitive-entities&amp;amp;lt;/a&amp;amp;gt;,,,,,
58,An adversary can tamper critical database securables and deny the action,Tampering,DB Request,An adversary can tamper critical database securables and deny the action,Add digital signature to critical database securables. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#securables-db&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#securables-db&amp;amp;lt;/a&amp;amp;gt;,,,,,
59,An adversary may leverage the lack of monitoring systems and trigger anomalous traffic to database,Tampering,DB Request,An adversary may leverage the lack of intrusion detection and prevention  of anomalous database activities and  trigger anomalous traffic to database,Enable Threat detection on Azure SQL database. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#threat-detection&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#threat-detection&amp;amp;lt;/a&amp;amp;gt;,,,,,
